step,objective
0,20.8387
1,20.8387
2,15.9534
3,12.8394
4,10.7755
5,9.31016
6,8.20201
7,7.3266
8,6.61549
9,6.02628
10,5.5298
11,5.105
12,4.73642
13,4.41286
14,4.12625
15,3.87092
16,3.64275
17,3.43861
18,3.25599
19,3.09269
20,2.9466
21,2.81581
22,2.69847
23,2.59287
24,2.49743
25,2.41075
26,2.33158
27,2.25883
28,2.1916
29,2.12913
30,2.07079
31,2.01607
32,1.96457
33,1.91598
34,1.87001
35,1.82643
36,1.78507
37,1.74575
38,1.70833
39,1.67267
40,1.63862
41,1.60608
42,1.5749
43,1.54494
44,1.51603
45,1.48805
46,1.46085
47,1.4343
48,1.40829
49,1.38273
50,1.35753
51,1.33263
52,1.30801
53,1.28366
54,1.25954
55,1.23568
56,1.21211
57,1.18884
58,1.16591
59,1.14337
60,1.12125
61,1.09959
62,1.0784
63,1.05771
64,1.03754
65,1.0179
66,0.998792
67,0.98021
68,0.962148
69,0.944599
70,0.927534
71,0.91093
72,0.894764
73,0.87901
74,0.86366
75,0.848685
76,0.834061
77,0.819771
78,0.805798
79,0.792131
80,0.778757
81,0.765672
82,0.752875
83,0.740354
84,0.728108
85,0.716127
86,0.704413
87,0.692954
88,0.681743
89,0.670773
90,0.660043
91,0.649541
92,0.63926
93,0.629192
94,0.619328
95,0.609665
96,0.600195
97,0.590915
98,0.581824
99,0.572922
100,0.564205
101,0.555672
102,0.547319
103,0.539152
104,0.531168
105,0.523367
106,0.515748
107,0.508312
108,0.501059
109,0.493986
110,0.487092
111,0.480376
112,0.473832
113,0.467457
114,0.461247
115,0.455198
116,0.449307
117,0.443572
118,0.437984
119,0.432537
120,0.427232
121,0.422059
122,0.417015
123,0.412104
124,0.407315
125,0.402645
126,0.398102
127,0.393673
128,0.389352
129,0.385135
130,0.38102
131,0.377011
132,0.373098
133,0.369276
134,0.365544
135,0.361897
136,0.358331
137,0.354845
138,0.351434
139,0.348096
140,0.344831
141,0.341637
142,0.338506
143,0.335436
144,0.332425
145,0.329468
146,0.326565
147,0.323712
148,0.320908
149,0.318149
