step,objective
0,31.5253
1,28.3431
2,25.8384
3,23.83
4,22.1914
5,20.8336
6,19.6929
7,18.7234
8,17.8909
9,17.1693
10,16.5386
11,15.9825
12,15.4883
13,15.046
14,14.6477
15,14.2866
16,13.9578
17,13.6574
18,13.3817
19,13.1279
20,12.8929
21,12.6753
22,12.4734
23,12.2853
24,12.1095
25,11.9448
26,11.7902
27,11.6446
28,11.5073
29,11.3779
30,11.2555
31,11.1395
32,11.0293
33,10.9245
34,10.8247
35,10.7299
36,10.6396
37,10.5534
38,10.4708
39,10.3916
40,10.3159
41,10.2436
42,10.1743
43,10.1078
44,10.0441
45,9.98275
46,9.9237
47,9.86676
48,9.81192
49,9.75905
50,9.70804
51,9.65865
52,9.61083
53,9.56446
54,9.51959
55,9.47622
56,9.43428
57,9.39369
58,9.35438
59,9.31629
60,9.27917
61,9.24316
62,9.20824
63,9.17435
64,9.14144
65,9.10948
66,9.07841
67,9.04821
68,9.01882
69,8.99022
70,8.96238
71,8.93527
72,8.90884
73,8.88308
74,8.85795
75,8.83344
76,8.80951
77,8.78615
78,8.7633
79,8.74079
80,8.71882
81,8.69738
82,8.67645
83,8.65601
84,8.63604
85,8.61649
86,8.59723
87,8.57842
88,8.56002
89,8.54203
90,8.52443
91,8.50721
92,8.49018
93,8.47347
94,8.45712
95,8.44114
96,8.42546
97,8.41001
98,8.3948
99,8.37982
100,8.36512
101,8.35072
102,8.3366
103,8.32274
104,8.30909
105,8.29569
106,8.28252
107,8.26959
108,8.2569
109,8.24442
110,8.23217
111,8.22012
112,8.20829
113,8.19665
114,8.18521
115,8.17397
116,8.16291
117,8.15204
118,8.14134
119,8.13082
120,8.12038
121,8.11005
122,8.09989
123,8.08989
124,8.08
125,8.07018
126,8.06054
127,8.05108
128,8.04179
129,8.03266
130,8.0237
131,8.01489
132,8.00623
133,7.99772
134,7.98935
135,7.98112
136,7.97302
137,7.96498
138,7.95707
139,7.94928
140,7.94162
141,7.93408
142,7.92665
143,7.91934
144,7.91214
145,7.90496
146,7.89787
147,7.89089
148,7.88401
149,7.87723
