step,objective
0,164.438
1,76.3418
2,37.2882
3,19.0641
4,10.1858
5,5.70929
6,3.40617
7,2.21661
8,1.61356
9,1.31698
10,1.1977
11,1.1817
12,1.20664
13,1.23928
14,1.27522
15,1.29667
16,1.30224
17,1.30244
18,1.28575
19,1.26594
20,1.25738
21,1.24137
22,1.22031
23,1.19643
24,1.17016
25,1.15128
26,1.14119
27,1.12546
28,1.12217
29,1.13262
30,1.14584
31,1.15266
32,1.14956
33,1.14177
34,1.12178
35,1.10047
36,1.07943
37,1.05893
38,1.04449
39,1.02933
40,0.999701
41,0.960135
42,0.918456
43,0.89667
44,0.891732
45,0.892899
46,0.888078
47,0.872324
48,0.832811
49,0.807067
50,0.769511
51,0.73689
52,0.702248
53,0.674
54,0.669812
55,0.668287
56,0.654406
57,0.630059
58,0.594913
59,0.561713
60,0.543203
61,0.510611
62,0.474182
63,0.433884
64,0.398108
65,0.372716
66,0.358384
67,0.359383
68,0.367323
69,0.375215
70,0.383104
71,0.391929
72,0.402346
73,0.411805
74,0.422499
75,0.434195
76,0.446455
77,0.459775
78,0.473191
79,0.484889
80,0.493146
81,0.501204
82,0.510601
83,0.518524
84,0.523226
85,0.525409
86,0.526903
87,0.528861
88,0.530956
89,0.531561
90,0.531155
91,0.528342
92,0.523133
93,0.516248
94,0.50785
95,0.500703
96,0.495992
97,0.491985
98,0.488467
99,0.484539
