step,objective
0,30.8152
1,27.1641
2,24.343
3,22.1189
4,20.3325
5,18.873
6,17.6619
7,16.6427
8,15.7741
9,15.0253
10,14.373
11,13.7995
12,13.2909
13,12.8363
14,12.4272
15,12.0566
16,11.7189
17,11.4096
18,11.1249
19,10.8617
20,10.6174
21,10.3897
22,10.1768
23,9.97717
24,9.78939
25,9.6123
26,9.44489
27,9.28626
28,9.13565
29,8.99238
30,8.85583
31,8.72549
32,8.60087
33,8.48155
34,8.36715
35,8.25733
36,8.15178
37,8.05021
38,7.95238
39,7.85805
40,7.76701
41,7.67907
42,7.59405
43,7.51179
44,7.43213
45,7.35494
46,7.28009
47,7.20746
48,7.13694
49,7.06843
50,7.00183
51,6.93704
52,6.874
53,6.81261
54,6.7528
55,6.69452
56,6.63768
57,6.58224
58,6.52813
59,6.4753
60,6.42369
61,6.37327
62,6.32398
63,6.27579
64,6.22865
65,6.18252
66,6.13737
67,6.09315
68,6.04985
69,6.00742
70,5.96584
71,5.92508
72,5.8851
73,5.84589
74,5.80743
75,5.76967
76,5.73262
77,5.69623
78,5.6605
79,5.6254
80,5.59092
81,5.55703
82,5.52371
83,5.49096
84,5.45876
85,5.42708
86,5.39592
87,5.36526
88,5.33509
89,5.3054
90,5.27616
91,5.24738
92,5.21904
93,5.19112
94,5.16362
95,5.13652
96,5.10982
97,5.08351
98,5.05758
99,5.03201
100,5.0068
101,4.98194
102,4.95743
103,4.93325
104,4.9094
105,4.88587
106,4.86265
107,4.83974
108,4.81713
109,4.79481
110,4.77278
111,4.75102
112,4.72955
113,4.70834
114,4.68739
115,4.6667
116,4.64627
117,4.62608
118,4.60614
119,4.58643
120,4.56696
121,4.54772
122,4.5287
123,4.5099
124,4.49132
125,4.47295
126,4.45479
127,4.43683
128,4.41907
129,4.40151
130,4.38415
131,4.36697
132,4.34998
133,4.33318
134,4.31656
135,4.30011
136,4.28384
137,4.26774
138,4.2518
139,4.23604
140,4.22043
141,4.20499
142,4.1897
143,4.17457
144,4.15959
145,4.14476
146,4.13008
147,4.11554
148,4.10115
149,4.0869
